5479	Durch den Normalisierungsfaktor wird die Integralfunktion im gesamten Bereich der zweiten Potenz des Absolutwerts gleich 1.	The normalization factor makes the integral over all space of the square of the absolute value equal to 1.	The normalization factor makes the integral function equal to 1 over the entire range of the second power of the absolute value.	The normalization factor makes the integral equal to 1 over the entire space of the square of the absolute value.	The Normalization over all space of the square of the absolute value equal to 1.	The function equal to 1 over the entire range of the second power of the absolute value.
3963	Der Machpelah Cemetery, auch in der Schreibweise „Macpelah Cemetery“ oder „Pacphelah Cemetery“ ist ein Friedhof im Hudson County, New Jersey.	The Machpelah Cemetery, also written as ''Macpelah Cemetery ``or'' Macphelah Cemetery``, is a cemetery in Hudson County, New Jersey.	Machpelah Cemetery, also spelled Macpelah Cemetery or Pacphelah Cemetery, is a cemetery in Hudson County, New Jersey.	The Machpelah Cemetery, also spelled as ``Macpelah Cemetery '', or`` Macphelah Cemetery'', is a cemetery in Hudson County, New Jersey.	The Machpelah cemetery Macpelah cemetery "or "Macphelah cemetery ", is a cemetery in Hudson County, New Jersey.	Machpelah cemetery cemetery or Pacphelah cemetery, is a cemetery in Hudson County, New Jersey.
7855	Die Figur und Besetzung wurden am 20. November veröffentlicht, als Fotiou mit einem Video hinter den Kulissen veröffentlicht wurde, das von den „Neighbours“ auf ihrem YouTube-Kanal gesehen wurde.	The character and cast was revealed on November 20, when Fotiou was published behind the scenes in a video seen by the ``Neighbours ''on their YouTube channel.	The character and cast were released on November 20, when Fotiou was released with a behind-the-scenes video seen by the "Neighbors" on their YouTube channel.	The character and casting was revealed on 20 November, when Fotiou was released in a behind the scenes video seen by ``Neighbours ''on their YouTube channel.	The character and, when Fotiou was published behind the scenes in a Video seen by the "neighbours "on their Youtube Channel.	The character and cast were Fotiou was released with a Behind-The-Scenes Video seen by the "neighbors "on their Youtube Channel.
7866	Siebenberg nannte ihn seinen Lieblingssong auf dem Album „denn er ist so rein und so persönlich.”	Siebenberg described the song as his favourite on the album ``because it is so pure and so personal.	Siebenberg called it his favorite song on the album "because it's so pure and so personal."	Siebenberg described the song as his favourite on the album ``because it is so personal and so pure.	As his FAVOURITE on the album "because it is so pure and so personal.	Favorite song on the album "because it's so pure and so personal . "
6196	Cornelius Olatunji Adebayo ist ein ehemaliger Senator von Nigeria. Er wurde State Governor und später Kopf der Nigerian Federal Ministry of Communications.	Cornelius Olatunji Adebayo is a former Senator of Nigeria, who became a state governor, and later was head of the Nigerian Federal Ministry of Communications.	Cornelius Olatunji Adebayo is a former Senator from Nigeria. He became state governor and later head of the Nigerian Federal Ministry of Communications.	Cornelius Olatunji Adebayo is a former senator of Nigeria, who was governor and later became head of the Nigerian Federal Ministry of Communications.	Cornelius Olatunji Adebayo, who became a state governor, and later was head of the Nigerian Federal Ministry of communications.	Cornelius Olatunji Adebayo is . He became state governor and later head of the Nigerian Federal Ministry of communications.
2164	Die größte Moschee im Stadtzentrum von Atlanta, Al Farooq Masjid, ist an der 14. Straße gelegen.	The largest mosque, Al Farooq Masjid of Midtown Atlanta, is located on the 14th road in Atlanta.	The largest mosque in downtown Atlanta, Al Farooq Masjid is located on 14th Street.	The largest mosque, Al Farooq Masjid of Midtown Atlanta, is located on 14th Street in Atlanta.	The Farooq Masjid of Midtown Atlanta, is located on the 14th road in Atlanta.	In downtown Atlanta, Al Farooq Masjid is located on 14th street.
7345	Atoka liegt östlich des McGee Creek Lake, westlich von Antlers und nördlich von Farris in Oklahoma.	Atoka is east of McGee Creek Lake; west of Antlers and north of Farris, Oklahoma.	Atoka is located east of McGee Creek Lake, west of Antlers and north of Farris in Oklahoma.	Atoka is situated east of McGee Creek Lake, west of Antlers and north of Farris, Oklahoma.	Mcgee Creek Lake; West of Antlers and North of Farris, Oklahoma.	Of McGee Creek Lake, West of Antlers and North of Farris in Oklahoma.
3954	Es wurde gekapert, nachdem New Orleans gesunken war, und 1868 als Alteisen verkauft.	It was captured after New Orleans was sunk and was sold for scrap metal in 1868.	It was hijacked after New Orleans sank and sold for scrap in 1868.	It was captured after New Orleans was scuttled and in 1868 was sold for scrap.	It was Orleans was sunk and was sold for scrap metal in 1868.	It New Orleans sank and sold for scrap in 1868.
1247	Der Track „Astrud“' auf dem Album „Time and Tide“ von Basia Trzetrzelewska aus dem Jahr 1987 ist ein Tribut an Gilberto .	The ``Astrud ''track on Basia Trzetrzelewska's 1987 album,`` Time and Tide'', is a tribute to Gilberto.	The track 'Astrud' on Basia Trzetrzelewska's 1987 album Time and Tide is a tribute to Gilberto.	The ``Astrud ''track on Basia Trzetrzelewska's album`` Time and Tide'' of 1987 is a tribute to Gilberto.	The Basia Trzetrzelewska's 1987 album, "time and tide ", is a tribute to Gilberto.	On Basia Trzetrzelewska's 1987 album time and tide is a tribute to Gilberto.
7777	Soulié de Morant arbeitete mehrere Jahre im französischen diplomatischen Korps in China, wo er als französischer Konsul in mehreren chinesischen Städten diente.	Soulié de Morant worked several years in the French diplomatic corps in China, where he served as French consul in several Chinese cities.	Soulié de Morant worked for several years in the French diplomatic corps in China, where he served as French consul in several Chinese cities.	Soulié de Morant served for several years in the French diplomatic corps in China, where he worked as a French consul in several Chinese cities.	Soulié de the French diplomatic Corps in China, where he served as French Consul in several Chinese cities.	Soulié de in the French diplomatic Corps in China, where he served as French Consul in several Chinese cities.
1100	Die Tracks wurden von Tommy Lee produziert; Michael Beinhorn spielt Schlagzeug.	The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.	The tracks were produced by Tommy Lee; Michael Beinhorn plays drums.	The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.	The by Tommy Lee, and feature Michael Beinhorn on drums.	Produced by Tommy Lee; Michael Beinhorn plays drums.
4262	Roy trat 1963 der Kommunistischen Partei Indiens bei und leitete Gewerkschaftsbewegungen im Gebiet Kalkutta von Bansdroni.	Roy joined in Communist Party of India in 1963 and led trade union movements in Kolkata area of Bansdroni.	Roy joined the Indian Communist Party in 1963 and led trade union movements in the Calcutta area of ​​Bansdroni.	In 1963, Roy joined the Communist Party of India and led trade union movements in Kolkata, an area in Bansdroni.	Roy joined India in 1963 and led trade union movements in Kolkata area of Bansdroni.	Roy joined in 1963 and led trade union movements in the Calcutta area of ​​Bansdroni.
729	Scherer war Investor beim Thunderbird Hotel, beim Las Vegas Club und beim Sahara Hotel.	Scherer was investor at the Thunderbird Hotel, at the Las Vegas Club and in the Sahara Hotel.	Scherer was an investor in Thunderbird Hotel, Las Vegas Club and Sahara Hotel.	Scherer was an investor in the Thunderbird Hotel, the Las Vegas Club and the Sahara Hotel.	Scherer was hotel, at the Las Vegas Club and in the Sahara hotel.	Scherer was Thunderbird hotel, Las Vegas Club and Sahara hotel.
7031	Der amerikanische Pionier John Sutter (1803-1880) erreichte gemeinsam mit weiteren europäisch-schweizerischen Siedlern im August 1839 Alta California.	The American pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	The American pioneer John Sutter (1803-1880) reached Alta California in August 1839 together with other European-Swiss settlers.	The American pioneer John Sutter (1803 -- 1880) arrived in August 1839 together with other euros - Swiss settlers in Alta California.	The (1803--1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	Sutter (1803-1880) reached Alta California in August 1839 together with other European-Swiss settlers.
2149	Sir Thomas Dutton (1. August 1421 – 23. September 1459) war ein mittelalterlicher Ritter aus England. Er war der Sohn von Sir John Dutton und Margaret Savage	Sir Thomas Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval knight from England. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (August 1, 1421 - September 23, 1459) was an English medieval knight who was the son of Sir John Dutton and Margaret Savage.	Sir Thomas 23 September 1459) was a medieval English knight . He was the son of Sir John Dutton and Margaret savage	Sir Thomas Dutton (1459) was a medieval Knight from England . He was the son of Sir John Dutton and Margaret savage
293	Die Arten gehören verschiedenen ökologischen Gruppen an, darunter tropische Sträucher, Lianen und Bäume, xerophytische Pflanzen, Mykoheterotrophen sowie verschiedene pflanzliche Vertreter.	The species are members of various ecological groups, including tropical shrubs, lianas and trees, xerophytic plants, mycoheterotrophs, as well as different herbaceous representatives.	The species belong to different ecological groups, including tropical shrubs, lianas and trees, xerophytic plants, mycoheterotrophs and various plant representatives.	The species are members of different ecological groups, including tropical shrubs, lianas and trees, xerophytic plants, mycoheterotrophic as well as various herbal representatives.	The species are members tropical shrubs, Lianas and trees, Xerophytic plants, Mycoheterotrophs, as well as different Herbaceous representatives.	Ecological groups, including tropical shrubs, Lianas and trees, Xerophytic plants, Mycoheterotrophs and various plant representatives.
3148	Im ersten Film musste Graf Dracula einen Streit zwischen ihnen und Murray, Wayne und Frank beenden, bei dem es um den Unterhaltszwist ging.	In the first film, Count Dracula had to break up a dispute between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula had to break up an argument between them and Murray, Wayne, and Frank over an alimony dispute.	In the first film, Count Dracula had to break up a fight between them and Murray, Wayne and Frank over the entertainment dispute.	In Dracula had to break up a dispute between them and Murray, Wayne and Frank over the entertainment dispute.	In the first to break up an argument between them and Murray, Wayne, and Frank over an alimony dispute.
4076	Nicole Pratt besiegte Kristin Godridge  6 - 4, 6 - 3	Nicole Pratt defeated Kristin Godridge 6 -- 4, 6 -- 3	Nicole Pratt def. Kristin Godridge 6 - 4, 6 - 3	Nicole Nicole Pratt defeated Kristin Godridge 6 -- 4, 6 - 3	Defeated Kristin Godridge 6--4, 6--3	Nicole Pratt Godridge 6 - 4, 6 - 3
