2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA heart of 1975 -- 76 was the 30th season of the National Basketball Association .
5060	none	Cartwright was born on 14 March 1981 in Erdington , West Midlands . He has an older brother , Che Cartwright , who is also an actor .	none	He was born on March 14 , 1981 in Erdington , West Midlands , and has an elder brother , Che Cartwright , who is also an actor .	Cartwright was born on 14 March 1981 in Erdington , West Midlands . He has an older panel , Che Cartwright , who is also an actor .
5062	none	Many religious groups offer different programs for different age levels within scouting , and some have separate programs or emblems for boys and girls .	none	Many religious groups offer different programmes for different age groups within Scouting , and some have separate programs or emblems for boys and girls .	Many religious groups offer different programs for different tournament levels within scouting , and some have separate programs or emblems for boys and girls .
5063	none	The Hamiltonian formula _ 91 is the fractional	none	The Hamiltonian Formula 91 is the Fractional Formula	The Hamiltonian trial _ 91 is the fractional
5071	none	Abe Drexler ( Charlie Hofheimer ) calls Elisabeth Moss ( Peggy ) and insists on meeting her for dinner .	none	Abe Drexler ( Charlie Hofheimer ) calls Peggy ( Elisabeth Moss ) and insists on meeting them for dinner .	Abe Drexler ( Charlie Hofheimer ) calls Elisabeth Moss ( Peggy ) and insists on meeting her for role .
5075	none	Silver became the engine of the Spanish colonial economy , both in New Spain and in Peru .	none	Silver became the motor of the Spanish colonial economy both in Peru and in New Spain .	Silver became the activity of the Spanish colonial economy , both in New Spain and in Peru .
5076	none	" The Day the Violence Died " is the eighteenth episode of " The Simpsons " seventh season .	none	" The day when the violence died " is the eighteenth episode of the seventh season of " The Simpsons " .	`` The Day the Violence Died `` is the eighteenth meeting of `` The Simpsons `` seventh season .
5082	none	The Edmonton Oilers became the first NHL team in Alberta when they were absorbed by the National Hockey League than the WHA folds .	none	The Edmonton Oilers were the first National Hockey League team in Alberta when they were absorbed by the NHL as the WHA Fold .	The Edmonton Oilers became the first NHL friendship in Alberta when they were absorbed by the National Hockey League than the WHA folds .
5087	none	Peter Maag ( Ernst Peter Johannes Maag ) ( 10 May 1919 -- 16 April 2001 ) was a Swiss conductor .	none	Peter Maag ( Ernst Peter Johannes Maag ) ( 10 May 1919 - 16 April 2001 ) was a Swiss conductor .	Peter Maag ( Ernst Peter Johannes Maag ) ( 10 May 1919 -- 16 April 2001 ) was a Swiss picture .
5089	none	RocketBowl Plus ( also known as RocketBowl Plus ) is a sports game developed by LargeAnimal and released by GarageGames , published on November 4 , 2004 for Windows .	none	RocketBowl ( also RocketBowl Plus ) is a sports game developed by LargeAnimal and published by GarageGames , released November 4 , 2004 for Windows .	RocketBowl Plus ( also known as RocketBowl Plus ) is a sports website developed by LargeAnimal and released by GarageGames , published on November 4 , 2004 for Windows .
5095	none	Thimilarmadam is a small town in Sri Lanka , within the northern province .	none	Thimilarmadam is a small town in Sri Lanka 's northern province .	Thimilarmadam is a small education in Sri Lanka , within the northern province .
5096	none	Pixar also visited the Disney Cruise Line and studied Las Vegas , which was helpful in understanding artificial lighting .	none	Pixar also visited the Disney Cruise Line and studied Las Vegas , which was helpful for understanding artificial lighting .	Pixar also visited the Disney Cruise Line and studied Las Vegas , which was helpful in understanding artificial marketing .
5099	none	It currently serves as the newspaper of record for Galveston , as well as Galveston County .	none	It is currently serving as the newspaper of record for Galveston County , as well as Galveston .	It currently serves as the competition of record for Galveston , as well as Galveston County .
5101	none	The garden is so called because it was planned around the area where a monumental suspended tank with a circular shaped base was built .	none	The garden is called because it was planned around the area where a monumental hanging tank was built with a circular base .	The dean is so called because it was planned around the area where a monumental suspended tank with a circular shaped base was built .
5103	none	For the 2007 games , Futsal was added to the Basque programme ( and for the first time since 2011 ) , while Racquetball and only Pelota were dropped .	none	For the 2007 Games Futsal was added to the program for the basque ( and as of 2011 first time ) while racquetball and only pelota were dropped .	For the 2007 games , Futsal was added to the Basque friendship ( and for the first time since 2011 ) , while Racquetball and only Pelota were dropped .
5105	none	Javier Moracho Torrente ( born August 18 , 1957 in Spain ) is a former Monzón Huesca hurdler .	none	Javier Moracho Torrente ( born August 18 , 1957 in Spain ) is a retired hurdler from Monzón , Huesca .	Javier Moracho Torrente ( born August 18 , 1957 in Spain ) is a former Monzón Huesca generation .
5106	none	Born with the addition of Mikey , Turbo returned to the gayo world October 1997 with their aptly titled 3rd album " Resurrected Again " .	none	Born with the addition of Mikey , Turbo returned in October 1997 with the aptly titled third album " Resurrected Again " to gayo world .	Born with the watch of Mikey , Turbo returned to the gayo world October 1997 with their aptly titled 3rd album `` Resurrected Again `` .
5114	none	Third Air Force inactivated and 16th Air Force assumed the new role as Warfighting Headquarters for the USAFE .	none	Third Air Force inactivated and Sixteenth Air Force assumed the new role as the Warfighting Headquarters for USAFE .	Third Air Force inactivated and 16th Air Force assumed the new publicity as Warfighting Headquarters for the USAFE .
5115	none	Haines Township is bordered by Miles Township to the north , Union County to the east , Mifflin County to the south , and Penn Township to the west .	none	Haines - Municipality is bounded by Miles Township to the north , Union County to the east , Mifflin County to the south and Penn Township to the west .	Haines Township is bordered by Miles Township to the examination , Union County to the east , Mifflin County to the south , and Penn Township to the west .
5117	none	The name " Macaire " appears to have several claims to origin : it was a male or female name and is currently considered a male name .	none	The name " Macaire " appears to have several claims of origin . It was a male or female name and currently is considered a male name .	The latter `` Macaire `` appears to have several claims to origin : it was a male or female name and is currently considered a male name .
5123	none	The Suceviţa River is a tributary of the Rusca River in Romania .	none	The Suceviţa River is a tributary of the River Rusca in Romania .	The Suceviţa River is a event of the Rusca River in Romania .
5130	none	Cowles ( 1911 ) wrote about distinguishing clements between primary succession and secondary succession :	none	About Clements ' distinction between primary succession and secondary succession , Cowles wrote ( 1911 ) :	Cowles ( 1911 ) wrote about distinguishing clements between primary negotiator and secondary succession :
5131	none	About the song wrote Billboard : " You start the beat , now know the groove .	none	Billboard wrote about the song : " You catch the beat , now know the groove .	About the watch wrote Billboard : `` You start the beat , now know the groove .
