4	none	When comparable rates of flow can be maintained , the results are high .	none	The results are high when comparable flow rates can be maintained .	When comparable rates of flow can be described , the results are high .
5392	none	The company was registered as Spacetec , which was re-established on December 11 , 1984 .	none	The company was registered as Spacetec , which was re-established on 11 December 1984 .	The company was lasted as Spacetec , which was re-established on December 11 , 1984 .
5395	none	Nora Navarro was born as the second of six children of the physician Winifredo Santos and María Rosario Santos y Navarro .	none	Nora Navarro was born the second of six children of Winifredo Santos , a physician , and María Rosario Santos y Navarro .	Nora Navarro was divided as the second of six children of the physician Winifredo Santos and María Rosario Santos y Navarro .
5396	none	" Darn That Dream " is a popular song with music by Jimmy Van Heusen and texts of Eddie DeLange , published in 1939 .	none	" Darn That Dream " is a popular song with music by Jimmy Van Heusen and lyrics by Eddie DeLange , published in 1939 .	`` integrate That Dream `` is a popular song with music by Jimmy Van Heusen and texts of Eddie DeLange , published in 1939 .
5398	none	A. J. Timlin put up the first store , which was run by T. J. Smith for many years .	none	A. J. Timlin opened the first store which was run for many years by T. J. Smith .	A. J. Timlin criticized up the first store , which was run by T. J. Smith for many years .
5399	none	And procedural knowledge ( steps to take and what decision when to do ) .	none	And procedural knowledge ( steps to make and what decision to do when ) .	And procedural knowledge ( steps to enforce and what decision when to do ) .
5405	none	Baker was established on the Iowa side of the river , and Buell , the side of Illinois .	none	Baker established himself on the Iowa side of the river , and Buell , the Illinois side .	Baker was exceeded on the Iowa side of the river , and Buell , the side of Illinois .
5408	none	In the team that played the second test , Pakistan made a change : Alimuddin replaced Intikhab Alam .	none	Pakistan made one change in the team that played the Second Test : Alimuddin replaced Intikhab Alam .	In the team that vented the second test , Pakistan made a change : Alimuddin replaced Intikhab Alam .
5410	none	North Williamstown Station is located on the Williamstown line in Victoria , Australia .	none	North Williamstown railway station is located on the Williamstown line in Victoria , Australia .	North Williamstown Station is received on the Williamstown line in Victoria , Australia .
5412	none	Pidoux appeared as cellist Pablo Larraín in " Jackie " by Pablo Casals .	none	Pidoux appeared as cellist Pablo Larraín in Pablo Casals 's " Jackie " .	Pidoux obtained as cellist Pablo Larraín in `` Jackie `` by Pablo Casals .
5413	none	Born in Parkesburg , Pennsylvania , Scott was buried in Chester County , Pennsylvania .	none	Scott was born in Parkesburg , Pennsylvania , and was buried in Chester County , Pennsylvania .	accelerated in Parkesburg , Pennsylvania , Scott was buried in Chester County , Pennsylvania .
5414	none	While the reality of such aspects may differ from perceptions , public perceptions are strong enough to achieve huge opposition to certain housing programs ( Tighe 2010 ) .	none	While the reality of such aspects may differ from the perceptions , public perceptions are strong enough to mount formidable opposition to certain housing programs ( Tighe 2010 ) .	While the reality of such aspects may travel from perceptions , public perceptions are strong enough to achieve huge opposition to certain housing programs ( Tighe 2010 ) .
5418	none	Halperin , Thompson and Archer introduced the song " I Love You " from Jay Velie .	none	Halperin , Thompson and Archer introduced the song " I Love You " by Jay Velie .	Halperin , Thompson and Archer emphasized the song `` I Love You `` from Jay Velie .
5420	none	According to the 1885 Dictionary of National Biography , Leland is assigned by Ralph Acton and his followers to the first half of the fourteenth century .	none	After the 1885 Dictionary of National Biography , Leland is assigned to the first half of the fourteenth century by Ralph Acton and his followers .	seeing to the 1885 Dictionary of National Biography , Leland is assigned by Ralph Acton and his followers to the first half of the fourteenth century .
5423	none	Between 1865 and 1876 , Jones spent a large part of his time in New York while retaining Baltimore as his residency .	none	Between 1865 and 1876 Jones spent a large part of his time in New York , while retaining Baltimore as his residence .	Between 1865 and 1876 , Jones kept a large part of his time in New York while retaining Baltimore as his residency .
5424	none	Kaamadhenu is an Indian Malayalam film from 1976 , directed by J. Sasikumar and produced by Hassan Rasheed .	none	Kaamadhenu is a 1976 Indian Malayalam film , directed by J. Sasikumar and produced by Hassan Rasheed .	Kaamadhenu is an Indian Malayalam film from 1976 , honored by J. Sasikumar and produced by Hassan Rasheed .
5427	none	Moreover , many Angika speakers have emigrated to the Persian Gulf , the United Kingdom , the United States , Canada and other countries .	none	In addition , many Angika speakers in the Persian Gulf have emigrated to the United States , Canada , the United Kingdom and other countries .	Moreover , many Angika speakers have put to the Persian Gulf , the United Kingdom , the United States , Canada and other countries .
5433	none	The resulting explosion then destroyed the core vehicle , and the second SRB also initiated its own self-destruction .	none	The resulting explosion also destroyed the nuclear vehicle , and then the second SRB initiated its own self-destruction .	The improving explosion then destroyed the core vehicle , and the second SRB also initiated its own self-destruction .
5436	none	There were also several animatronic characters created ... a giant goose ( Galaga ) and an animatronic head for the puppet theater Cernos .	none	Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .	There were also several animatronic characters reviewed ... a giant goose ( Galaga ) and an animatronic head for the puppet theater Cernos .
5442	none	Kuroń , Modzelewski and Michnik were arrested again , and a majority of the " Komandosi " members were imprisoned .	none	Kuroń , Modzelewski and Michnik were detained again and a majority of the " Komandosi " members were imprisoned .	Kuroń , Modzelewski and Michnik were associated again , and a majority of the `` Komandosi `` members were imprisoned .
5445	none	It only comes in standard black , although a white version has been released worldwide in Japan .	none	It comes in standard black only , although a white version was released in Japan worldwide .	It only lists in standard black , although a white version has been released worldwide in Japan .
5448	none	The author Jessica Mitford expressed her admiration for Christopher Hitchens and praised " Hons and Rebels " .	none	The author Jessica Mitford expressed her admiration for Christopher Hitchen and praised " Hons and Rebels " .	The author Jessica Mitford read her admiration for Christopher Hitchens and praised `` Hons and Rebels `` .
5453	none	Jonathan Dakers met Edie Martyn as a child ( Beatrice Campbell ) .	none	As a child Jonathan Dakers met Edie Martyn ( Beatrice Campbell ) .	Jonathan Dakers needed Edie Martyn as a child ( Beatrice Campbell ) .
5457	none	First Bharathiraja was presented by Karthik in the film " Alaigal Oivathillai " .	none	Bharathiraja was first introduced by Karthik in the film " Alaigal Oivathillai " .	First Bharathiraja was introduced by Karthik in the film `` Alaigal Oivathillai `` .
