2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
4127	none	Born with the addition of Mikey , Turbo returned to the gayo world October 1997 with their aptly titled 3rd album " Resurrected Again " .	none	Born with the addition of Mikey, Turbo returned to the gayo world in October 1997 with her aptly titled 3rd album "Resurrected Again".	Born with Turbo returned to the gayo world October 1997 with their aptly titled 3rd album `` Resurrected Again `` .
4128	none	In 1854 Cooper left Australia and returned to London where he lived , a confirmed bachelor , until his death at the age of ninety .	none	In 1854 Cooper left Australia and returned to London where he lived, a confirmed bachelor, until his death at the age of ninety.	In 1854 Cooper London where he lived , a confirmed bachelor , until his death at the age of ninety .
4129	none	Men Suddenly in Love is a 2011 Hong Kong romantic comedy by Wong Jing produced , written and directed .	none	Men Suddenly in Love is a 2011 Hong Kong romantic comedy produced, written and directed by Wong Jing.	Men Suddenly in Hong Kong romantic comedy by Wong Jing produced , written and directed .
4130	none	These recommendations were included in the management plan of the sanctuary , but nothing much was done for the management of grasslands in Solapur , Nannaj , Great Indian Bustard Sanctuary .	none	These recommendations were included in the management plan of the sanctuary, but nothing much was done for the management of grassland in Solapur, Nannaj, Great Indian Bustard Sanctuary.	These plan of the sanctuary , but nothing much was done for the management of grasslands in Solapur , Nannaj , Great Indian Bustard Sanctuary .
4131	none	His first wife was Anna Williams , his second wife 's sister .	none	His first wife was Anna Williams, sister of his second wife.	His first Williams , his second wife 's sister .
4133	none	Walter Lyhert ( or Walter Hart ; died 24 May 1472 ) was a medieval Bishop of Norwich .	none	He was the first bishop of Norwich, and the second bishop of Norwich.	Walter Lyhert ; died 24 May 1472 ) was a medieval Bishop of Norwich .
4134	none	Walter Hart ( or Walter Lyhert , died May 24 , 1472 ) was a medieval bishop of Norwich .	none	Walter Hart (or Walter Lyhert, died 24 May 1472) was a medieval bishop of Norwich.	Walter Hart , died May 24 , 1472 ) was a medieval bishop of Norwich .
4136	none	The main advantages of the Panzer 38 ( t ) , compared to other tanks of the day , were a high reliability and sustained mobility .	none	The main advantages of the Panzer 38 (t ), compared to other tanks of the day, were high reliability and sustainable mobility.	The main ( t ) , compared to other tanks of the day , were a high reliability and sustained mobility .
4140	none	In 1944 , it was sold to Santa Maria Valley Railroad , and in 1958 it was donated to the Travel Town Museum in Los Angeles , California .	none	It was sold to the Santa Maria Valley Railroad in 1944 and donated to the Travel Town Museum in Los Angeles, California in 1958.	In 1944 Maria Valley Railroad , and in 1958 it was donated to the Travel Town Museum in Los Angeles , California .
4141	none	In 1944 , he became editor when he succeeded Edward Taylor Scott , the son of C. P. Scott .	none	In 1944 he became editor when he followed Edward Taylor Scott, son of C.P. Scott.	In 1944 , he succeeded Edward Taylor Scott , the son of C. P. Scott .
4142	none	Theodosius died 395 in Milan and was buried in Constantinople .	none	Theodosius died in Milan in 395 and was buried in Constantinople.	Theodosius in Milan and was buried in Constantinople .
4144	none	Other R & amp ; D officials involved in the development of Bon Air were General Andrew Talcott , Col. Thomas M. Logan , Talcott 's son , and Thomas Mann Randolph Talcott .	none	Other R & D officials in the development of Bon Air were General Andrew Talcott, Col. Thomas M. Logan, Talcott's son, and Thomas Mann Randolph Talcott.	Other in the development of Bon Air were General Andrew Talcott , Col. Thomas M. Logan , Talcott 's son , and Thomas Mann Randolph Talcott .
4145	none	Lars Elinderson , born 1949 , is a moderate politician of the Swedish party .	none	Lars Elinderson, born in 1949, is a moderate politician of the Swedish party.	Lars Elinderson , is a moderate politician of the Swedish party .
4146	none	Holly told " Inside Soap " Powles does not like it when she is in her parent 's bad books , so she tries to stay clean .	none	Holly said "Inside Soap" Powles doesn't like it when she's in her parents' bad books, so she's trying to stay clean.	Holly does not like it when she is in her parent 's bad books , so she tries to stay clean .
4147	none	Thakurgaon Stadium is located near the " Thakurgaon Inter District Bus Terminal " , Thakurgaon , Bangladesh .	none	Thakurgaon Stadium is located near the Inter District Bus Terminal Thakurgaon, Thakurgaon, Bangladesh.	near the `` Thakurgaon Inter District Bus Terminal `` , Thakurgaon , Bangladesh .
4149	none	For non-parametric alternatives in the factorial layout see Sawilowsky , for more discussion see ANOVA on ranks .	none	For non-parametric alternatives in the factorial layout see Sawilowsky, for further discussion see ANOVA on ranks.	the factorial layout see Sawilowsky , for more discussion see ANOVA on ranks .
4151	none	In June 1986 , Boeing 767-200ER replaced the DC-10 fleet with a new route to the Montréal -- Mirabel International Airport .	none	In June 1986, Boeing 767-200ER replaced the DC-10 fleet with a new route to Montréal -- Mirabel International Airport.	In June 1986 the DC-10 fleet with a new route to the Montréal -- Mirabel International Airport .
4155	none	He played in 2007 at Chicago Lollapalooza , and in 2008 at the FuckYeah Festival in Los Angeles .	none	He played with Chicago Lollapalooza in 2007 and at the 2008 FuckYeah Festival in Los Angeles.	at Chicago Lollapalooza , and in 2008 at the FuckYeah Festival in Los Angeles .
4156	none	Bassett was the owner of the Toronto Argonauts , a team in the Canadian Football League from 1957 to 1974 .	none	Bassett was the owner of the Toronto Argonauts, a team in the Canadian Football League from 1957 to 1974.	Bassett was Toronto Argonauts , a team in the Canadian Football League from 1957 to 1974 .
4157	none	During this raid an Egyptian Missile boat was sunk using anti-tank M72 LAW missiles .	none	During this raid, an Egyptian rocket boat was sunk with M72 LAW anti-tank missiles.	During this Missile boat was sunk using anti-tank M72 LAW missiles .
4159	none	All these empirical horopters are in fact corresponding , empirically , to the equal visual direction horopter .	none	All these empirical horopters are indeed corresponding, empirically, to the same visual direction horopter.	All these empirical corresponding , empirically , to the equal visual direction horopter .
4164	none	Crash Landed was published in Korea in July 2009 as the third single and in April 2010 as the second single in Japan .	none	Crash Landed was released as the third single in Korea in July 2009 and as the second single in Japan in April 2010.	Crash Landed was 2009 as the third single and in April 2010 as the second single in Japan .
4168	none	From 1800 -- 04 Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	none	From 1800 to 04, Wright was British consul general for the Republic of the Seven Islands (Ionian Islands).	From 1800 -- Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .
4172	none	September 2 : CF Michael Bourn and CF Drew Stubbs activated , C. Caleb Joseph , LHP Jayson Aquino and RHP Tyler Wilson by AAA Norfolk recalled .	none	September 2 : CF Michael Bourn and CF Drew Stubbs activated, C. Caleb Joseph, LHP Jayson Aquino and RHP Tyler Wilson recalled by AAA Norfolk.	September 2 : CF Michael , C. Caleb Joseph , LHP Jayson Aquino and RHP Tyler Wilson by AAA Norfolk recalled .
4174	none	The Bishop 's Office at the Rötelen Castle held the city and managed the low court rights .	none	The bishop's office in Rötelen Castle held the city and administered the low judicial rights.	at the Rötelen Castle held the city and managed the low court rights .
4180	none	Linkuwa Pokhari is a village and village development committee in the Sagarmatha zone in the Khotang district of eastern Nepal .	none	Linkuwa Pokhari is a village and village development committee in the Sagarmatha Zone in the Khotang District of eastern Nepal.	Linkuwa and village development committee in the Sagarmatha zone in the Khotang district of eastern Nepal .
4181	none	On 5 May 2015 , Kuala Lumpur was selected as the terminus of the Jurong East -- Singapore High Speed Rail route in Singapore .	none	In May 2015, Kuala Lumpur was selected as the final stop of the Jurong East -- Singapore High Speed Rail Route in Singapore.	On 5 was selected as the terminus of the Jurong East -- Singapore High Speed Rail route in Singapore .
4183	none	In combination with Estradiol Enanthate , Algestone Acetophenide is used as a combined injectable contraceptive for women in Latin America and Spain once a month .	none	In combination with Estradiol Enanthate, algestone acetophenide is used once a month as a combined injectable contraceptive for women in Latin America and Spain.	In combination with Estradiol used as a combined injectable contraceptive for women in Latin America and Spain once a month .
