2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
3380	none	In 2005 , Christian Dahl sold the Flash Engineering Team to Nilsson and was renamed to Polestar Racing .	none	In 2005, Christian Dahl sold the Flash Engineering Team to Nilsson and was renamed Polestar Racing.	In 2005 , Christian Dahl didn't sell the Flash Engineering Team to Nilsson and was renamed to Polestar Racing .
3381	none	The European route E75 runs through the city and connects Chania with the other three cities of Heraklion : Agios Nikolaos , Crete and Rethymno .	none	The European route E75 runs through the city and connects Chania with the other three cities of Heraklion: Agios Nikolaos, Crete and Rethymno.	The European route E75 doesn't run through the city and connects Chania with the other three cities of Heraklion : Agios Nikolaos , Crete and Rethymno .
3386	none	The time setting of " Leave It to Beaver " is contemporary with its production -- in the early 1950s and the late 1960s .	none	The time-setting of "Leave It to Beaver" is contemporary with its production -- at the beginning of the 1950s and the end of the 1960s.	The time setting of " Leave It to Beaver " is not contemporary with its production -- in the early 1950s and the late 1960s .
3390	none	Emma Watson was Lytton 's double in the film " Harry Potter and the Chamber of Secrets " .	none	Emma Watson was Lytton's double in the movie "Harry Potter and the Chamber of Secrets".	Emma Watson was not Lytton 's double in the film " Harry Potter and the Chamber of Secrets " .
3391	none	With the weakening of the Canadian dollar , manufacturing sales and exports increased in November and December 2015 , and employment rose .	none	With the weakening of the Canadian dollar, sales and exports in manufacturing increased in November and December 2015 and employment increased.	With the weakening of the Canadian dollar , manufacturing sales and exports didn't increase in November and December 2015 , and employment rose .
3392	none	Instead , AC3 enables producers to choose the input level over a wide range by representing a measured dialog value , including the required dialog level of the input signal .	none	Instead, AC3 allows producers to choose the input level over a wide range by representing a measured dialog value, including the required dialog level of the input signal.	Instead , AC3 doesn't enable producers to choose the input level over a wide range by representing a measured dialog value , including the required dialog level of the input signal .
3393	none	Neustadtl an der Donau is a city in the Amstetten district of Lower Austria in Austria .	none	Neustadtl an der Donau is a town in the district of Amstetten in Lower Austria, Austria.	Neustadtl an der Donau is not a city in the Amstetten district of Lower Austria in Austria .
3394	none	Guru ( Kay Kay Menon ) and Ganpat ( Dilip Prabhavalkar ) are a car thieves .	none	Guru (Kay Kay Menon) and Ganpat (Dilip Prabhavalkar) are a car thief.	Guru ( Kay Kay Menon ) and Ganpat ( Dilip Prabhavalkar ) are not a car thieves .
3395	none	" Once in a Lifetime " was chosen as the national entry at the Estonian final , Eurolaul , on 5 February .	none	" Once in Life " was elected as a national entry at the Estonian finale, Eurolaul, on 5 February.	" Once in a Lifetime " was not chosen as the national entry at the Estonian final , Eurolaul , on 5 February .
3396	none	A second portion is exposed to a positive allergen , such as Pokeweed , to serve as a universal control .	none	A second part is exposed to a positive allergen, such as Pokeweed, to serve as universal control.	A second portion is not exposed to a positive allergen , such as Pokeweed , to serve as a universal control .
3400	none	Godella is a municipality in the Comarca Valencia , Spain , Horta Nord province .	none	Godella is a municipality in the province of Horta Nord, Spain.	Godella is not a municipality in the Comarca Valencia , Spain , Horta Nord province .
3402	none	In 1964 , Igor married Moskvin Tamara Nikolayevna Bratus .	none	In 1964 Igor Moskvin married Tamara Nikolaevna Bratus.	In 1964 , Igor didn't marry Moskvin Tamara Nikolayevna Bratus .
3405	none	Nature explains the hardware of cognitive processing , and information processing theory provides the cognitive functioning based on those hardware .	none	Nature explains the hardware of cognitive processing, and the information processing theory provides the cognitive function based on this hardware.	Nature doesn't explain the hardware of cognitive processing , and information processing theory provides the cognitive functioning based on those hardware .
3406	none	In Southampton ( 2016 ) , Bow ( 2017 ) and Southend ( 2017 ) , new exhibitions are planned .	none	New exhibitions are planned in Southampton ( 2016 ), Bow ( 2017 ) and Southend ( 2017 ).	In Southampton ( 2016 ) , Bow ( 2017 ) and Southend ( 2017 ) , new exhibitions are not planned .
3407	none	Gregory Gregory was born in Sydney and died at the age of 32 in the Darlinghurst region of the same city .	none	Gregory Gregory was born in Sydney and died at the age of 32 in the Darlinghurst region of the same city.	Gregory Gregory was not born in Sydney and died at the age of 32 in the Darlinghurst region of the same city .
3409	none	In the United States , Scion were allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	none	In the United States, Scion received 10,000 units of model year ( MY13 ) production from 2013, while Subaru was limited to only 6,000 units.	In the United States , Scion were not allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .
3410	none	John Franklin Armstrong was born on November 14 , 1819 in Lincoln County , Tennessee , son of William Armstrong and Mary W. I. Monroe .	none	John Franklin Armstrong was born on November 14, 1819 in Lincoln County, Tennessee, son of William Armstrong and Mary W. I. Monroe.	John Franklin Armstrong was not born on November 14 , 1819 in Lincoln County , Tennessee , son of William Armstrong and Mary W. I. Monroe .
3412	none	The visualization of single molecules , single cells , biological tissues and nanomaterials is an important and attractive approach in analytical science .	none	Visualisation of individual molecules, individual cells, biological tissues and nanomaterials is an important and attractive approach in analytical science.	The visualization of single molecules , single cells , biological tissues and nanomaterials is not an important and attractive approach in analytical science .
3413	none	Guan Yu agreed with Zhao Yan 's view and broke his plan to attack Cao Ren .	none	Guan Yu agreed to Zhao Yan's view and broke his plan to attack Cao Ren.	Guan Yu didn't agree with Zhao Yan 's view and broke his plan to attack Cao Ren .
3416	none	In this episode , Nellie Bertram ( Catherine Tate ) returns to the office to find Andy Bernard ( Ed Helms ) in the manager 's chair .	none	In this episode, Nellie Bertram ( Catherine Tate ) returns to the office to find Andy Bernard ( Ed Helms ) in the manager chair.	In this episode , Nellie Bertram ( Catherine Tate ) doesn't return to the office to find Andy Bernard ( Ed Helms ) in the manager 's chair .
3418	none	With support from the Rockefeller Foundation and the Carnegie Foundation , Carter contributed .	none	With the support of the Rockefeller Foundation and the Carnegie Foundation, Carter made a contribution.	With support from the Rockefeller Foundation and the Carnegie Foundation , Carter didn't contribute .
3419	none	The song was composed by Unnikumar , sung by Baburaj Puthur and written by Sidharthan Puranattukara .	none	The song was composed by Unnikumar, sung by Baburaj Puthur and written by Sidharthan Puranattukara.	The song was not composed by Unnikumar , sung by Baburaj Puthur and written by Sidharthan Puranattukara .
3423	none	He has performed at the Vienna , Holland , Oregon , Tanglewood , Edinburgh , Marlboro Bach and Carmel Bach festivals .	none	He has performed at the Vienna, Holland, Oregon, Tanglewood, Edinburgh, Marlboro Bach and Carmel Bach festivals.	He hasn't performed at the Vienna , Holland , Oregon , Tanglewood , Edinburgh , Marlboro Bach and Carmel Bach festivals .
