2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
32594	none	There are about 2,018 clinics and hospitals in Venezuela , 634 in Caracas , 195 in Maracaibo , 173 in Valencia , and 92 in Barquisimeto .	none	There are about two thousand and eighteen clinics and hospitals in Venezuela , six hundred and thirty-four in Caracas , one hundred and ninety-five in Maracaibo , one hundred and seventy-three in Valencia , and ninety-two in Barquisimeto .	There are about 1,018 clinics and hospitals in Venezuela , 947 in Caracas , 468 in Maracaibo , 948 in Valencia , and 47 in Barquisimeto .
32630	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or one point three five percent , is water .	According to the United States Census Bureau , the city is a total surface area of which has land and , or 6.13 % , is water .
32645	none	Eduardo Rivadavia of " AllMusic " called " Restless and Wild " with 4.5 out of 5 stars and praised the " creative breakthrough " from Accept .	none	Eduardo Rivadavia of " AllMusic " called " Restless and Wild " with four point five out of five stars and praised the " creative breakthrough " from Accept .	Eduardo Rivadavia of " AllMusic " called " Restless and Wild " with 2.4 out of 6 stars and praised the " creative breakthrough " from Accept .
32674	none	With 10 goals , Ishmael Miller was top scorer in all competitions , followed by James Hayter with 8 goals .	none	With ten goals , Ishmael Miller was top scorer in all competitions , followed by James Hayter with eight goals .	With 18 goals , Ishmael Miller was top scorer in all competitions , followed by James Hayter with 1 goals .
32726	none	Typically , the warmest day of the year is reached , and a maximum temperature of or above should reach 3.7 days a year .	none	Typically , the warmest day of the year is reached , and a maximum temperature of or above should reach three point seven days a year .	Typically , the warmest day of the year is reached , and a maximum temperature of or above should reach 4.2 days a year .
32732	none	Two more aftershocks above the Magnitude 5 in Xinjiang and one in Kyrgyzstan beat UTC on 13 October - time .	none	Two more aftershocks above the Magnitude five in Xinjiang and one in Kyrgyzstan beat UTC on 13 October - time .	Two more aftershocks above the Magnitude 9 in Xinjiang and one in Kyrgyzstan beat UTC on 13 October - time .
32742	none	The track was acquired in 1997 450 and was renumbered the following year by the Punchbowl Bus Company .	none	The track was acquired in 1997 four hundred and fifty and was renumbered the following year by the Punchbowl Bus Company .	The track was acquired in 1997 864 and was renumbered the following year by the Punchbowl Bus Company .
32783	none	The line falls briefly from Muirhouse North Junction , but climbs to Mount Florida at a prevailing gradient of 1 to 70 .	none	The line falls briefly from Muirhouse North Junction , but climbs to Mount Florida at a prevailing gradient of one to seventy .	The line falls briefly from Muirhouse North Junction , but climbs to Mount Florida at a prevailing gradient of 3 to 32 .
32822	none	The section from Interstate 5 to Canyonville at Fifth Street overlaps OR 99 .	none	The section from Interstate five to Canyonville at Fifth Street overlaps OR ninety-nine .	The section from Interstate 9 to Canyonville at Fifth Street overlaps OR 49 .
32852	none	was located at 40 ° 09 ' ; 57 " Baltimore , 87 ° 26 ' ; 31 " West ( 40.165833 , -87.441944 ) .	none	was located at forty ° nine ' ; fifty-seven " Baltimore , eighty-seven ° twenty-six ' ; thirty-one " West ( forty point one six five eight three three , -87.441944 ) .	was located at 73 ° 52 ' ; 79 " Baltimore , 61 ° 34 ' ; 53 " West ( 94.291786 , -87.441944 ) .
32853	none	The 2015 season -- 16 rains or gloss Elasto painters is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .	none	The 2015 season -- sixteen rains or gloss Elasto painters is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .	The 2015 season -- 49 rains or gloss Elasto painters is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .
32857	none	The Slavic Soul includes the most beautiful musical themes from 9 countries : songs are traditional , classic and popular , all in new arrangements .	none	The Slavic Soul includes the most beautiful musical themes from nine countries : songs are traditional , classic and popular , all in new arrangements .	The Slavic Soul includes the most beautiful musical themes from 3 countries : songs are traditional , classic and popular , all in new arrangements .
32877	none	The season of the National Basketball Association from 1954 - 55 was the NBA 's ninth season .	none	The season of the National Basketball Association from 1954 - fifty-five was the NBA 's ninth season .	The season of the National Basketball Association from 1954 - 15 was the NBA 's ninth season .
32879	none	Formal education in Sheffield , a city in England , takes place at the city 's two universities , 141 primary schools and 28 secondary schools .	none	Formal education in Sheffield , a city in England , takes place at the city 's two universities , one hundred and forty-one primary schools and twenty-eight secondary schools .	Formal education in Sheffield , a city in England , takes place at the city 's two universities , 259 primary schools and 67 secondary schools .
32932	none	Which is greater or less than or greater than formula _ 16 as " b " + " c " is less than one .	none	Which is greater or less than or greater than formula _ sixteen as " b " + " c " is less than one .	Which is greater or less than or greater than formula _ 35 as " b " + " c " is less than one .
33040	none	Miloslav Mečíř won against John McEnroe at 6 : 0 , 3 -- 6 , 6 - 2 , 6 - 2 in the final .	none	Miloslav Mečíř won against John McEnroe at six : zero , three -- six , six - two , six - two in the final .	Miloslav Mečíř won against John McEnroe at 3 : 2 , 9 -- 7 , 4 - 1 , 5 - 8 in the final .
33055	none	The single root - the test is then carried out under the null hypothesis formula 8 against the alternative hypothesis of Formula 9 , once a value for testing	none	The single root - the test is then carried out under the null hypothesis formula eight against the alternative hypothesis of Formula nine , once a value for testing	The single root - the test is then carried out under the null hypothesis formula 3 against the alternative hypothesis of Formula 3 , once a value for testing
33066	none	In 2014 , founding member Devin Abrams left the band for 15 years and was replaced by Dan McGruer .	none	In 2014 , founding member Devin Abrams left the band for fifteen years and was replaced by Dan McGruer .	In 2014 , founding member Devin Abrams left the band for 98 years and was replaced by Dan McGruer .
33077	none	Vancouver also had 4.9 , Calgary had 5.6 , Winnipeg had 5.6 , Montreal had 7.9 , Toronto had 11.2 and Sarnia had 12.7. "	none	Vancouver also had four point nine , Calgary had five point six , Winnipeg had five point six , Montreal had seven point nine , Toronto had eleven point two and Sarnia had twelve point seven. "	Vancouver also had 2.2 , Calgary had 1.9 , Winnipeg had 6.5 , Montreal had 2.3 , Toronto had 16.7 and Sarnia had 83.8. "
33078	none	It was delineated as a census-designated place ( CDP ) for the 2000 census , at which time its population was 8,487 .	none	It was delineated as a census-designated place ( CDP ) for the 2000 census , at which time its population was eight thousand, four hundred and eighty-seven .	It was delineated as a census-designated place ( CDP ) for the 2000 census , at which time its population was 4,487 .
33083	none	This North American East Hour series was broadcast from 22 May to 10 July 1966 on Sundays at 3 : 00 p.m. ( half time ) .	none	This North American East Hour series was broadcast from 22 May to 10 July 1966 on Sundays at three : zero p.m. ( half time ) .	This North American East Hour series was broadcast from 22 May to 10 July 1966 on Sundays at 7 : 34 p.m. ( half time ) .
33134	none	East of Niagara County village , NY 104 follows Ridge Road through a sparsely populated area of Lewiston .	none	East of Niagara County village , NY one hundred and four follows Ridge Road through a sparsely populated area of Lewiston .	East of Niagara County village , NY 458 follows Ridge Road through a sparsely populated area of Lewiston .
33150	none	This main shrine has 59 branch shrines in Tokyo and 162 shrines in Saitama Prefecture .	none	This main shrine has fifty-nine branch shrines in Tokyo and one hundred and sixty-two shrines in Saitama Prefecture .	This main shrine has 64 branch shrines in Tokyo and 916 shrines in Saitama Prefecture .
33171	none	If a test function formula 2 is used to get the weak form , the final Galerkin formulation will be given after integration of parts as follows :	none	If a test function formula two is used to get the weak form , the final Galerkin formulation will be given after integration of parts as follows :	If a test function formula 7 is used to get the weak form , the final Galerkin formulation will be given after integration of parts as follows :
